museum_id,day,open,close,open_time,close_time,duration,rank
83,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
85,Sunday,12:00:PM,07:00:PM,12:00:00,19:00:00,07:00:00,182
69,Sunday,10:00:AM,04:30:PM,10:00:00,16:30:00,06:30:00,310
69,Tuesday,10:00:AM,04:30:PM,10:00:00,16:30:00,06:30:00,310
69,Wednesday,10:00:AM,04:30:PM,10:00:00,16:30:00,06:30:00,310
69,Thusday,10:00:AM,04:30:PM,10:00:00,16:30:00,06:30:00,310
69,Saturday,10:00:AM,04:30:PM,10:00:00,16:30:00,06:30:00,310
71,Sunday,09:00:AM,03:30:PM,09:00:00,15:30:00,06:30:00,310
71,Tuesday,09:00:AM,03:30:PM,09:00:00,15:30:00,06:30:00,310
71,Friday,09:00:AM,03:30:PM,09:00:00,15:30:00,06:30:00,310
71,Saturday,09:00:AM,03:30:PM,09:00:00,15:30:00,06:30:00,310
51,Sunday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
51,Monday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
51,Thursday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
51,Friday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
51,Saturday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
54,Wednesday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
59,Sunday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
59,Wednesday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
59,Thursday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
68,Sunday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
68,Monday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
68,Friday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
68,Saturday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
80,Sunday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
80,Thusday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
80,Saturday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
80,Saturday,11:00:AM,05:00:PM,11:00:00,17:00:00,06:00:00,319
54,Sunday,12:30:PM,06:00:PM,12:30:00,18:00:00,05:30:00,336
44,Tuesday,04:00:PM,09:00:PM,16:00:00,21:00:00,05:00:00,337
48,Monday,01:00:PM,06:00:PM,13:00:00,18:00:00,05:00:00,337
